entity_id,name,normalized_name,entity_type,doc_id,chunk_id,confidence,evidence
ENT-b41b651df9687b66dd0b,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC001,DOC001-C0025,0.92,"Association of Fish and Wildlife Agencies, Teaming With Wildlife Committee, State Wildlife Action Plan (SWAP) Best Practices Working Group."
ENT-23b38fecdfe8ef0636bb,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC009,DOC009-C0007,0.92,Association of Fish and Wildlife Agencies.
ENT-b8159b85c7ff609c8ceb,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0001,0.92,Association of Fish and Wildlife Agencies H.
ENT-4ad54e7d874a6b6b514d,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0002,0.92,Association of Fish and Wildlife Agencies and the U.S.
ENT-e090c956127057ed043b,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0006,0.92,Association of Fish and Wildlife Agencies Leads National Eff ort The Association of Fish and Wildlife Agencies played a pivotal role in convening states to help them develop high quality action plans that would guide wildlife conservation in the states.
ENT-c823888500227c685bd7,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0007,0.92,"” – George Patton, General, United States Army The Association of Fish and Wildlife Agencies’ mission is to serve as the voice of fi sh and wildlife agencies by helping to foster a deep appreciation and understanding for the public management and conservation of the fi sh, wildlife, and natural communities that"
ENT-4467a2bb385e60a0c2dc,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0042,0.92,"” – John Baughman, Executive Vice President, Association of Fish and Wildlife Agencies 69 Florida’s Wildlife Legacy Initiative Highlight habitats Wildlife (examples) Issue (examples) Action (examples) Scrub Ownership: Approx."
ENT-34ec01591ffd1044b0b5,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0111,0.92,"Association of Fish and Wildlife Agencies committees as well as local, state, regional, and national conservation partners was maintained in order to capitalize on advancements and encourage integration and future coordina- tion through the implementation of th"
ENT-2e7374c5f93f69e6a8b7,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0114,0.92,"” - John Cooper, Secretary of South Dakota Depart- ment of Game, Fish and Parks and President of the Association of Fish and Wildlife Agencies Burrowing Owl/Doug Blacklund 210 South Dakota Wildlife Action Plan listings."
ENT-b1e070b3a6b7b72d7523,Association of Fish and Wildlife Agencies,association of fish and wildlife agencies,agency,DOC013,DOC013-C0115,0.92,"” - John Cooper, Secretary of South Dakota Depart- ment of Game, Fish and Parks and President of the Association of Fish and Wildlife Agencies Burrowing Owl/Doug Blacklund 210 South Dakota Wildlife Action Plan listings."
