relation_id,subject,relation,object,doc_id,chunk_id,evidence,confidence
REL-aaf74fa24128a49b1db1,U.S. Geological Survey,agency_manages_program,Nonindigenous Aquatic Species Database,DOC011,DOC011-C0001,U.S. Geological Survey’s Nonindigenous Aquatic Species Database: over thirty years of tracking introduced aquatic species in the United States (and counting) Pam Fuller 1* and Matthew E.,0.9
REL-9b481e88016978c4d815,U.S. Geological Survey,agency_manages_program,Nonindigenous Aquatic Species Database,DOC011,DOC011-C0002,Relational design of the U.S. Geological Survey’s Nonindigenous Aquatic Species database.,0.9
REL-0da035b118c80091185b,U.S. Geological Survey,agency_manages_program,Nonindigenous Aquatic Species Database,DOC011,DOC011-C0004,Sample occurrence record from the U.S. Geological Survey’s Nonindigenous Aquatic Species database based on a personal communication.,0.9
REL-553e63575182a7be0cfa,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0013,"Mississippi River) or Mississippi Lowlands (Mis - souri occurrence is primarily in the lower Mississippi and associated sloughs, backwaters, and wetlands of southeastern Missouri).",0.98
REL-cc305f6d86a01b18f426,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0014,"Mississippi River Alluvial Basin ecoregion, or Bootheel, is part of the vast, flat floodplain of the Mississippi River that ex- tends all the way to New Orleans.",0.98
REL-022bcf3f168a62292082,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0015,"Mississippi River PREFACE PREFACE Page 12 ELEMENTS 3 AND 4: THREATS AND ACTIONS Problems which may adversely affect SGCN or their habitats, and descriptions of conservation actions determined to be necessary to conserve SGCN and their ha",0.98
REL-603c55418882b1c6f606,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0016,"Mississippi River PREFACE PREFACE Page 12 ELEMENTS 3 AND 4: THREATS AND ACTIONS Problems which may adversely affect SGCN or their habitats, and descriptions of conservation actions determined to be necessary to conserve SGCN and their ha",0.98
REL-7e70ec1675ad40cb5a2e,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0027,Mississippi River.,0.98
REL-f865299cde5a7d71f611,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0032,Mississippi River in only the south- eastern and northeastern regions of Missouri.,0.98
REL-2bd69bb48a6dd59dc7ca,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0033,Mississippi River in only the south- eastern and northeastern regions of Missouri.,0.98
REL-cfcbedad78d55fe76eb9,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0066,Mississippi River through the Bootheel region of Mis- souri.,0.98
REL-4331d54e941f0cfe2241,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0071,Mississippi River in southeast Missouri were once covered in cypress swamps.,0.98
REL-47a365ccf7d9c17a317e,DOC001,document_mentions_location,Mississippi River,DOC001,DOC001-C0072,Mississippi River in southeast Missouri were once covered in cypress swamps.,0.98
REL-bee1736b36595a68c5fe,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0003,Missouri Conservation Priorities .,0.98
REL-2597e36b963a389fef22,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0004,Missouri State Wildlife Action Plan Page vi Grassland/Prairie/Savanna Conservation (Continued) Conservation Opportunity Areas .,0.98
REL-68dbf2d5d17e70511317,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0008,Missouri State Wildlife Action Plan Page x Habitat System Threats .,0.98
REL-4e33e75a9bf086888e31,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0010,Missouri’s CWCS; the new title reflects a change in terminology for these na- tionwide plans at a national level.,0.98
REL-bd2b43eb5f13b41ac727,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0011,"Missouri supports a rich diversity of wildlife, includ- ing more than 350 native species birds, nearly 80 mammal species, more than 100 species of amphibi - ans and reptiles, more than 200 kinds of fishes (more than most neighbo",0.98
REL-a6640e1411b78c4255a8,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0013,Missouri are listed.,0.98
REL-cf2568f4bd9d3c869b2a,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0014,Missouri into its primary ecological re - gions.,0.98
REL-3490ed07f932d93dfbe6,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0015,Missouri’s remaining wild lands.,0.98
REL-cb1e411e68255c99b8f1,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0016,Missouri’s natural communities and the spe- cies they support.,0.98
REL-b09fd3c3e01ff5af44d0,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0017,Missouri.,0.98
REL-eff82ad564fa5f74c3dd,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0018,"Missouri, Illinois and Indiana.",0.98
REL-f0efc8180ae20d32eac2,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0019,Missouri’s habitat-based approach is well-suit - ed to mitigate the threat of climate change.,0.98
REL-2975d29f72d32b43e26a,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0020,Missouri Forest Action Plan that,0.98
REL-b23a968f5877e6187dd7,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0021,Missouri Forest Action Plan that used the CWCS as a major input in assessing the importance of forest- ed areas as wildlife habitat.,0.98
REL-82ad19d4a1a69a1d7141,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0022,"Missouri Forest Action Plan, or other recent coop- erative planning efforts were invited (see Appendix B, Partner Engagement Workshop Invitee List).",0.98
REL-5fa026bca209055683f0,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0023,"Missouri Conservationist magazine is mailed to more than 550,000 subscribers each month and covers a variety of nature, conservation, and outdoor-recre - ation subjects.",0.98
REL-226a326f452fedaa1d2b,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0024,Missouri communities for tree planting and maintenance of their communi - ty forest resources.,0.98
REL-4cc20d8ccb7e92377028,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0027,Missouri State Wildlife Action Plan Page 33 GRASSLAND/PRAIRIE/SAVANNA CONSERVATION Overview G rasslands have existed in North America be- tween five to seven million years due to a long drying trend in our climate.,0.98
REL-187d04a761e268c7ed29,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0028,Missouri.,0.98
REL-eae82770e2bdf9233fff,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0029,Missouri.,0.98
REL-103d42807ad1b159c872,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0030,Missouri as the Department and partners are learning to diversify them further.,0.98
REL-cbd61e06602334a2a443,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0031,"Missouri, and working with private and public entities is important to preserve this unique piece of Missouri’s heritage.",0.98
REL-60a4425222bb9a21faa5,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0032,"Missouri’s unglaciated prairies, stretches from Texas, Oklahoma and Kansas into the southern and western portions of Missouri.",0.98
REL-30e4414f6ca4df8aeab6,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0033,Missouri.,0.98
REL-a8c6318c02fcf6215793,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0034,Missouri-Iowa Woodland/Savanna Geography is a landscape of natural community management that includes portions of five Missouri counties and continues into Iowa.,0.98
REL-9f1bcf07b620834d48d4,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0035,Missouri is a major concern to the Missouri Department of Conservation and many conservation partners.,0.98
REL-285c9de9fda54f382ee0,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0036,Missouri’s fish and other aquatic species are dependent upon forests and woodlands as well.,0.98
REL-ff47adb14815eb4b5334,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0037,Missouri’s forested ecosys - tems.,0.98
REL-2324b766d89197552dac,DOC001,document_mentions_location,Missouri,DOC001,DOC001-C0038,Missouri’s forested ecosys - tems.,0.98
